node,profile,nid,spot.channel,Min time/rank,Max time/rank,Avg time/rank,Total time,Calls/rank (min),Calls/rank (avg),Calls/rank (max),Calls (total),Min time/rank (exc),Max time/rank (exc),Avg time/rank (exc),Total time (exc),name
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,102.0,regionprofile,3.7672e-05,3.7672e-05,3.7672e-05,3.7672e-05,3.0,3.0,3.0,3.0,3.7672e-05,3.7672e-05,3.7672e-05,3.7672e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [UnorderedMap - scalars] via memset', 'type': 'function'}",1024118826,103.0,regionprofile,0.000129617,0.000129617,0.000129617,0.000129617,2.0,2.0,2.0,2.0,7.3024e-05,7.3024e-05,7.3024e-05,7.3024e-05,Kokkos::View::initialization [UnorderedMap - scalars] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,104.0,regionprofile,5.6593e-05,5.6593e-05,5.6593e-05,5.6593e-05,6.0,6.0,6.0,6.0,5.6593e-05,5.6593e-05,5.6593e-05,5.6593e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [UnorderedMap - keys] via memset', 'type': 'function'}",1024118826,105.0,regionprofile,7.1722e-05,7.1722e-05,7.1722e-05,7.1722e-05,1.0,1.0,1.0,1.0,4.1473e-05,4.1473e-05,4.1473e-05,4.1473e-05,Kokkos::View::initialization [UnorderedMap - keys] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,106.0,regionprofile,3.0249e-05,3.0249e-05,3.0249e-05,3.0249e-05,3.0,3.0,3.0,3.0,3.0249e-05,3.0249e-05,3.0249e-05,3.0249e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [UnorderedMap - values]', 'type': 'function'}",1024118826,107.0,regionprofile,0.000128701,0.000128701,0.000128701,0.000128701,1.0,1.0,1.0,1.0,4.3909e-05,4.3909e-05,4.3909e-05,4.3909e-05,Kokkos::View::initialization [UnorderedMap - values]
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,108.0,regionprofile,8.4792e-05,8.4792e-05,8.4792e-05,8.4792e-05,3.0,3.0,3.0,3.0,8.4792e-05,8.4792e-05,8.4792e-05,8.4792e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [Nodes] via memset', 'type': 'function'}",1024118826,109.0,regionprofile,7.2524e-05,7.2524e-05,7.2524e-05,7.2524e-05,1.0,1.0,1.0,1.0,4.176e-05,4.176e-05,4.176e-05,4.176e-05,Kokkos::View::initialization [Nodes] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,110.0,regionprofile,3.0764e-05,3.0764e-05,3.0764e-05,3.0764e-05,3.0,3.0,3.0,3.0,3.0764e-05,3.0764e-05,3.0764e-05,3.0764e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [Num chunks for node] via memset', 'type': 'function'}",1024118826,111.0,regionprofile,7.1571e-05,7.1571e-05,7.1571e-05,7.1571e-05,1.0,1.0,1.0,1.0,4.1277e-05,4.1277e-05,4.1277e-05,4.1277e-05,Kokkos::View::initialization [Num chunks for node] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,112.0,regionprofile,3.0294e-05,3.0294e-05,3.0294e-05,3.0294e-05,3.0,3.0,3.0,3.0,3.0294e-05,3.0294e-05,3.0294e-05,3.0294e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Restore diff 3:Restart distinct', 'type': 'function'}",1024118826,113.0,regionprofile,0.006002,0.006002,0.006002,0.006002,1.0,1.0,1.0,1.0,0.00051281,0.00051281,0.00051281,0.00051281,Restore diff 3:Restart distinct
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,114.0,regionprofile,0.000196736,0.000196736,0.000196736,0.000196736,21.0,21.0,21.0,21.0,0.000196736,0.000196736,0.000196736,0.000196736,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Restore diff 3:Calculate num chunks', 'type': 'function'}",1024118826,115.0,regionprofile,0.000111802,0.000111802,0.000111802,0.000111802,1.0,1.0,1.0,1.0,8.0299e-05,8.0299e-05,8.0299e-05,8.0299e-05,Restore diff 3:Calculate num chunks
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,116.0,regionprofile,3.1503e-05,3.1503e-05,3.1503e-05,3.1503e-05,3.0,3.0,3.0,3.0,3.1503e-05,3.1503e-05,3.1503e-05,3.1503e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Restore diff 3:Calc offsets', 'type': 'function'}",1024118826,117.0,regionprofile,0.000773377,0.000773377,0.000773377,0.000773377,1.0,1.0,1.0,1.0,0.00073958,0.00073958,0.00073958,0.00073958,Restore diff 3:Calc offsets
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,118.0,regionprofile,3.3797e-05,3.3797e-05,3.3797e-05,3.3797e-05,3.0,3.0,3.0,3.0,3.3797e-05,3.3797e-05,3.3797e-05,3.3797e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'SharedAllocationRecord<Kokkos::CudaSpace, void>::SharedAllocationRecord(): fence after copying header from HostSpace', 'type': 'function'}",1024118826,119.0,regionprofile,1.5218e-05,1.5218e-05,1.5218e-05,1.5218e-05,1.0,1.0,1.0,1.0,1.5218e-05,1.5218e-05,1.5218e-05,1.5218e-05,"SharedAllocationRecord<Kokkos::CudaSpace, void>::SharedAllocationRecord(): fence after copying header from HostSpace"
"{'name': 'Kokkos::View::initialization [Total region size] via memset', 'type': 'function'}",1024118826,120.0,regionprofile,6.7892e-05,6.7892e-05,6.7892e-05,6.7892e-05,1.0,1.0,1.0,1.0,3.812e-05,3.812e-05,3.812e-05,3.812e-05,Kokkos::View::initialization [Total region size] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,121.0,regionprofile,2.9772e-05,2.9772e-05,2.9772e-05,2.9772e-05,3.0,3.0,3.0,3.0,2.9772e-05,2.9772e-05,2.9772e-05,2.9772e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::Impl::ViewValueFunctor: View init/destroy fence', 'type': 'function'}",1024118826,122.0,regionprofile,2.7678e-05,2.7678e-05,2.7678e-05,2.7678e-05,3.0,3.0,3.0,3.0,2.7678e-05,2.7678e-05,2.7678e-05,2.7678e-05,Kokkos::Impl::ViewValueFunctor: View init/destroy fence
"{'name': 'Kokkos::View::initialization [Total region size_mirror] via memset', 'type': 'function'}",1024118826,123.0,regionprofile,7.8251e-05,7.8251e-05,7.8251e-05,7.8251e-05,1.0,1.0,1.0,1.0,4.1542e-05,4.1542e-05,4.1542e-05,4.1542e-05,Kokkos::View::initialization [Total region size_mirror] via memset
"{'name': 'HostSpace fence', 'type': 'function'}",1024118826,124.0,regionprofile,8.515e-06,8.515e-06,8.515e-06,8.515e-06,1.0,1.0,1.0,1.0,8.515e-06,8.515e-06,8.515e-06,8.515e-06,HostSpace fence
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,125.0,regionprofile,2.8194e-05,2.8194e-05,2.8194e-05,2.8194e-05,3.0,3.0,3.0,3.0,2.8194e-05,2.8194e-05,2.8194e-05,2.8194e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::deep_copy: scalar copy, pre copy fence', 'type': 'function'}",1024118826,126.0,regionprofile,5.5817e-05,5.5817e-05,5.5817e-05,5.5817e-05,6.0,6.0,6.0,6.0,5.5817e-05,5.5817e-05,5.5817e-05,5.5817e-05,"Kokkos::deep_copy: scalar copy, pre copy fence"
"{'name': 'Kokkos::deep_copy: scalar copy, post copy fence', 'type': 'function'}",1024118826,127.0,regionprofile,5.5594e-05,5.5594e-05,5.5594e-05,5.5594e-05,6.0,6.0,6.0,6.0,5.5594e-05,5.5594e-05,5.5594e-05,5.5594e-05,"Kokkos::deep_copy: scalar copy, post copy fence"
"{'name': 'Restore diff 3:Restart Hash tree repeats main diff', 'type': 'function'}",1024118826,128.0,regionprofile,0.00396958,0.00396958,0.00396958,0.00396958,1.0,1.0,1.0,1.0,6.2874e-05,6.2874e-05,6.2874e-05,6.2874e-05,Restore diff 3:Restart Hash tree repeats main diff
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,129.0,regionprofile,0.00390671,0.00390671,0.00390671,0.00390671,3.0,3.0,3.0,3.0,0.00390671,0.00390671,0.00390671,0.00390671,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [Bytes restored_mirror] via memset', 'type': 'function'}",1024118826,130.0,regionprofile,7.8436e-05,7.8436e-05,7.8436e-05,7.8436e-05,1.0,1.0,1.0,1.0,4.1606e-05,4.1606e-05,4.1606e-05,4.1606e-05,Kokkos::View::initialization [Bytes restored_mirror] via memset
"{'name': 'HostSpace fence', 'type': 'function'}",1024118826,131.0,regionprofile,8.539e-06,8.539e-06,8.539e-06,8.539e-06,1.0,1.0,1.0,1.0,8.539e-06,8.539e-06,8.539e-06,8.539e-06,HostSpace fence
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,132.0,regionprofile,2.8291e-05,2.8291e-05,2.8291e-05,2.8291e-05,3.0,3.0,3.0,3.0,2.8291e-05,2.8291e-05,2.8291e-05,2.8291e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::deep_copy: copy between contiguous views, pre view equality check', 'type': 'function'}",1024118826,133.0,regionprofile,2.8757e-05,2.8757e-05,2.8757e-05,2.8757e-05,3.0,3.0,3.0,3.0,2.8757e-05,2.8757e-05,2.8757e-05,2.8757e-05,"Kokkos::deep_copy: copy between contiguous views, pre view equality check"
"{'name': 'Kokkos::deep_copy: copy between contiguous views, post deep copy fence', 'type': 'function'}",1024118826,134.0,regionprofile,3.0052e-05,3.0052e-05,3.0052e-05,3.0052e-05,3.0,3.0,3.0,3.0,3.0052e-05,3.0052e-05,3.0052e-05,3.0052e-05,"Kokkos::deep_copy: copy between contiguous views, post deep copy fence"
"{'name': 'Restore diff 3:Restart repeats', 'type': 'function'}",1024118826,135.0,regionprofile,0.00644945,0.00644945,0.00644945,0.00644945,1.0,1.0,1.0,1.0,0.0005925,0.0005925,0.0005925,0.0005925,Restore diff 3:Restart repeats
"{'name': 'SharedAllocationRecord<Kokkos::CudaSpace, void>::SharedAllocationRecord(): fence after copying header from HostSpace', 'type': 'function'}",1024118826,136.0,regionprofile,1.5658e-05,1.5658e-05,1.5658e-05,1.5658e-05,1.0,1.0,1.0,1.0,1.5658e-05,1.5658e-05,1.5658e-05,1.5658e-05,"SharedAllocationRecord<Kokkos::CudaSpace, void>::SharedAllocationRecord(): fence after copying header from HostSpace"
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,137.0,regionprofile,0.00016875,0.00016875,0.00016875,0.00016875,18.0,18.0,18.0,18.0,0.00016875,0.00016875,0.00016875,0.00016875,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [Repeat entires per diff] via memset', 'type': 'function'}",1024118826,138.0,regionprofile,6.765e-05,6.765e-05,6.765e-05,6.765e-05,1.0,1.0,1.0,1.0,3.8129e-05,3.8129e-05,3.8129e-05,3.8129e-05,Kokkos::View::initialization [Repeat entires per diff] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,139.0,regionprofile,2.9521e-05,2.9521e-05,2.9521e-05,2.9521e-05,3.0,3.0,3.0,3.0,2.9521e-05,2.9521e-05,2.9521e-05,2.9521e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::Impl::ViewValueFunctor: View init/destroy fence', 'type': 'function'}",1024118826,140.0,regionprofile,2.0781e-05,2.0781e-05,2.0781e-05,2.0781e-05,2.0,2.0,2.0,2.0,2.0781e-05,2.0781e-05,2.0781e-05,2.0781e-05,Kokkos::Impl::ViewValueFunctor: View init/destroy fence
"{'name': 'Kokkos::View::initialization [Repeat entires per diff_mirror] via memset', 'type': 'function'}",1024118826,141.0,regionprofile,7.8616e-05,7.8616e-05,7.8616e-05,7.8616e-05,1.0,1.0,1.0,1.0,4.1826e-05,4.1826e-05,4.1826e-05,4.1826e-05,Kokkos::View::initialization [Repeat entires per diff_mirror] via memset
"{'name': 'HostSpace fence', 'type': 'function'}",1024118826,142.0,regionprofile,8.548e-06,8.548e-06,8.548e-06,8.548e-06,1.0,1.0,1.0,1.0,8.548e-06,8.548e-06,8.548e-06,8.548e-06,HostSpace fence
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,143.0,regionprofile,2.8242e-05,2.8242e-05,2.8242e-05,2.8242e-05,3.0,3.0,3.0,3.0,2.8242e-05,2.8242e-05,2.8242e-05,2.8242e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::deep_copy: scalar copy, pre copy fence', 'type': 'function'}",1024118826,144.0,regionprofile,5.5808e-05,5.5808e-05,5.5808e-05,5.5808e-05,6.0,6.0,6.0,6.0,5.5808e-05,5.5808e-05,5.5808e-05,5.5808e-05,"Kokkos::deep_copy: scalar copy, pre copy fence"
"{'name': 'Kokkos::deep_copy: scalar copy, post copy fence', 'type': 'function'}",1024118826,145.0,regionprofile,5.6255e-05,5.6255e-05,5.6255e-05,5.6255e-05,6.0,6.0,6.0,6.0,5.6255e-05,5.6255e-05,5.6255e-05,5.6255e-05,"Kokkos::deep_copy: scalar copy, post copy fence"
"{'name': 'Restore diff 3:Load repeat map', 'type': 'function'}",1024118826,146.0,regionprofile,9.1072e-05,9.1072e-05,9.1072e-05,9.1072e-05,1.0,1.0,1.0,1.0,5.9431e-05,5.9431e-05,5.9431e-05,5.9431e-05,Restore diff 3:Load repeat map
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,147.0,regionprofile,3.1641e-05,3.1641e-05,3.1641e-05,3.1641e-05,3.0,3.0,3.0,3.0,3.1641e-05,3.1641e-05,3.1641e-05,3.1641e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::deep_copy: copy between contiguous views, pre view equality check', 'type': 'function'}",1024118826,148.0,regionprofile,8.444e-05,8.444e-05,8.444e-05,8.444e-05,9.0,9.0,9.0,9.0,8.444e-05,8.444e-05,8.444e-05,8.444e-05,"Kokkos::deep_copy: copy between contiguous views, pre view equality check"
"{'name': 'Kokkos::deep_copy: copy between contiguous views, post deep copy fence', 'type': 'function'}",1024118826,149.0,regionprofile,8.5958e-05,8.5958e-05,8.5958e-05,8.5958e-05,9.0,9.0,9.0,9.0,8.5958e-05,8.5958e-05,8.5958e-05,8.5958e-05,"Kokkos::deep_copy: copy between contiguous views, post deep copy fence"
"{'name': 'Restore diff 3:Repeat offsets', 'type': 'function'}",1024118826,150.0,regionprofile,0.000116001,0.000116001,0.000116001,0.000116001,1.0,1.0,1.0,1.0,8.4637e-05,8.4637e-05,8.4637e-05,8.4637e-05,Restore diff 3:Repeat offsets
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,151.0,regionprofile,3.1364e-05,3.1364e-05,3.1364e-05,3.1364e-05,3.0,3.0,3.0,3.0,3.1364e-05,3.1364e-05,3.1364e-05,3.1364e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Restore diff 3:Restart Hash tree repeats main diff', 'type': 'function'}",1024118826,152.0,regionprofile,0.00501596,0.00501596,0.00501596,0.00501596,1.0,1.0,1.0,1.0,6.2418e-05,6.2418e-05,6.2418e-05,6.2418e-05,Restore diff 3:Restart Hash tree repeats main diff
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,153.0,regionprofile,0.00495354,0.00495354,0.00495354,0.00495354,3.0,3.0,3.0,3.0,0.00495354,0.00495354,0.00495354,0.00495354,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Restore diff 3:Fill repeats', 'type': 'function'}",1024118826,154.0,regionprofile,0.000275068,0.000275068,0.000275068,0.000275068,1.0,1.0,1.0,1.0,9.9543e-05,9.9543e-05,9.9543e-05,9.9543e-05,Restore diff 3:Fill repeats
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,155.0,regionprofile,5.6426e-05,5.6426e-05,5.6426e-05,5.6426e-05,6.0,6.0,6.0,6.0,5.6426e-05,5.6426e-05,5.6426e-05,5.6426e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Tree:Main:Fill same entries', 'type': 'function'}",1024118826,156.0,regionprofile,9.0104e-05,9.0104e-05,9.0104e-05,9.0104e-05,1.0,1.0,1.0,1.0,5.9001e-05,5.9001e-05,5.9001e-05,5.9001e-05,Tree:Main:Fill same entries
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,157.0,regionprofile,3.1103e-05,3.1103e-05,3.1103e-05,3.1103e-05,3.0,3.0,3.0,3.0,3.1103e-05,3.1103e-05,3.1103e-05,3.1103e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::fence: Unnamed Global Fence', 'type': 'function'}",1024118826,158.0,regionprofile,2.8995e-05,2.8995e-05,2.8995e-05,2.8995e-05,3.0,3.0,3.0,3.0,2.8995e-05,2.8995e-05,2.8995e-05,2.8995e-05,Kokkos::fence: Unnamed Global Fence
"{'name': 'Restore diff 2', 'type': 'function'}",1024118826,159.0,regionprofile,0.0451532,0.0451532,0.0451532,0.0451532,1.0,1.0,1.0,1.0,0.000167075,0.000167075,0.000167075,0.000167075,Restore diff 2
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,160.0,regionprofile,0.000138622,0.000138622,0.000138622,0.000138622,15.0,15.0,15.0,15.0,0.000138622,0.000138622,0.000138622,0.000138622,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Restore diff 2:Read diff', 'type': 'function'}",1024118826,161.0,regionprofile,0.00865285,0.00865285,0.00865285,0.00865285,1.0,1.0,1.0,1.0,0.0052065,0.0052065,0.0052065,0.0052065,Restore diff 2:Read diff
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,162.0,regionprofile,8.9966e-05,8.9966e-05,8.9966e-05,8.9966e-05,9.0,9.0,9.0,9.0,8.9966e-05,8.9966e-05,8.9966e-05,8.9966e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [Buffer] via memset', 'type': 'function'}",1024118826,163.0,regionprofile,0.000336261,0.000336261,0.000336261,0.000336261,1.0,1.0,1.0,1.0,4.314e-05,4.314e-05,4.314e-05,4.314e-05,Kokkos::View::initialization [Buffer] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,164.0,regionprofile,0.000293121,0.000293121,0.000293121,0.000293121,3.0,3.0,3.0,3.0,0.000293121,0.000293121,0.000293121,0.000293121,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::ViewCopy-1D', 'type': 'function'}",1024118826,165.0,regionprofile,0.0029911,0.0029911,0.0029911,0.0029911,1.0,1.0,1.0,1.0,4.4867e-05,4.4867e-05,4.4867e-05,4.4867e-05,Kokkos::ViewCopy-1D
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,166.0,regionprofile,0.00294623,0.00294623,0.00294623,0.00294623,3.0,3.0,3.0,3.0,0.00294623,0.00294623,0.00294623,0.00294623,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::resize(View)', 'type': 'function'}",1024118826,167.0,regionprofile,2.9023e-05,2.9023e-05,2.9023e-05,2.9023e-05,3.0,3.0,3.0,3.0,2.9023e-05,2.9023e-05,2.9023e-05,2.9023e-05,Kokkos::resize(View)
"{'name': 'Restore diff 2:Setup', 'type': 'function'}",1024118826,168.0,regionprofile,0.0223467,0.0223467,0.0223467,0.0223467,1.0,1.0,1.0,1.0,0.0202531,0.0202531,0.0202531,0.0202531,Restore diff 2:Setup
"{'name': 'Kokkos::deep_copy: copy between contiguous views, pre view equality check', 'type': 'function'}",1024118826,169.0,regionprofile,2.966e-05,2.966e-05,2.966e-05,2.966e-05,3.0,3.0,3.0,3.0,2.966e-05,2.966e-05,2.966e-05,2.966e-05,"Kokkos::deep_copy: copy between contiguous views, pre view equality check"
"{'name': 'Kokkos::deep_copy: copy between contiguous views, post deep copy fence', 'type': 'function'}",1024118826,170.0,regionprofile,5.4384e-05,5.4384e-05,5.4384e-05,5.4384e-05,3.0,3.0,3.0,3.0,5.4384e-05,5.4384e-05,5.4384e-05,5.4384e-05,"Kokkos::deep_copy: copy between contiguous views, post deep copy fence"
"{'name': 'Kokkos::deep_copy: scalar copy, pre copy fence', 'type': 'function'}",1024118826,171.0,regionprofile,0.000299823,0.000299823,0.000299823,0.000299823,33.0,33.0,33.0,33.0,0.000299823,0.000299823,0.000299823,0.000299823,"Kokkos::deep_copy: scalar copy, pre copy fence"
"{'name': 'Kokkos::deep_copy: scalar copy, post copy fence', 'type': 'function'}",1024118826,172.0,regionprofile,0.000304312,0.000304312,0.000304312,0.000304312,33.0,33.0,33.0,33.0,0.000304312,0.000304312,0.000304312,0.000304312,"Kokkos::deep_copy: scalar copy, post copy fence"
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,173.0,regionprofile,0.000335282,0.000335282,0.000335282,0.000335282,36.0,36.0,36.0,36.0,0.000335282,0.000335282,0.000335282,0.000335282,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::ViewFill-1D', 'type': 'function'}",1024118826,174.0,regionprofile,0.00046582,0.00046582,0.00046582,0.00046582,5.0,5.0,5.0,5.0,0.000194831,0.000194831,0.000194831,0.000194831,Kokkos::ViewFill-1D
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,175.0,regionprofile,0.000270989,0.000270989,0.000270989,0.000270989,15.0,15.0,15.0,15.0,0.000270989,0.000270989,0.000270989,0.000270989,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'SharedAllocationRecord<Kokkos::CudaSpace, void>::SharedAllocationRecord(): fence after copying header from HostSpace', 'type': 'function'}",1024118826,176.0,regionprofile,1.603e-05,1.603e-05,1.603e-05,1.603e-05,1.0,1.0,1.0,1.0,1.603e-05,1.603e-05,1.603e-05,1.603e-05,"SharedAllocationRecord<Kokkos::CudaSpace, void>::SharedAllocationRecord(): fence after copying header from HostSpace"
"{'name': 'Kokkos::View::initialization [Write counter] via memset', 'type': 'function'}",1024118826,177.0,regionprofile,6.7988e-05,6.7988e-05,6.7988e-05,6.7988e-05,1.0,1.0,1.0,1.0,3.8364e-05,3.8364e-05,3.8364e-05,3.8364e-05,Kokkos::View::initialization [Write counter] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,178.0,regionprofile,2.9624e-05,2.9624e-05,2.9624e-05,2.9624e-05,3.0,3.0,3.0,3.0,2.9624e-05,2.9624e-05,2.9624e-05,2.9624e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::Impl::ViewValueFunctor: View init/destroy fence', 'type': 'function'}",1024118826,179.0,regionprofile,2.0859e-05,2.0859e-05,2.0859e-05,2.0859e-05,2.0,2.0,2.0,2.0,2.0859e-05,2.0859e-05,2.0859e-05,2.0859e-05,Kokkos::Impl::ViewValueFunctor: View init/destroy fence
"{'name': 'Kokkos::View::initialization [Write counter_mirror] via memset', 'type': 'function'}",1024118826,180.0,regionprofile,7.7923e-05,7.7923e-05,7.7923e-05,7.7923e-05,1.0,1.0,1.0,1.0,4.1247e-05,4.1247e-05,4.1247e-05,4.1247e-05,Kokkos::View::initialization [Write counter_mirror] via memset
"{'name': 'HostSpace fence', 'type': 'function'}",1024118826,181.0,regionprofile,8.533e-06,8.533e-06,8.533e-06,8.533e-06,1.0,1.0,1.0,1.0,8.533e-06,8.533e-06,8.533e-06,8.533e-06,HostSpace fence
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,182.0,regionprofile,2.8143e-05,2.8143e-05,2.8143e-05,2.8143e-05,3.0,3.0,3.0,3.0,2.8143e-05,2.8143e-05,2.8143e-05,2.8143e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
